name,new_title,url,id
The Hit Crew,Fur Elise,https://music.youtube.com/watch?v=F_RYpmBPr8A&list=OLAK5uy_k7qU-PcjvbjgE0Dl8FDTzJkb3CYr1rTj4,F_RYpmBPr8A
The Hit Crew,I Know What You Want,https://music.youtube.com/watch?v=ggo3dnQSfrU&list=OLAK5uy_k7qU-PcjvbjgE0Dl8FDTzJkb3CYr1rTj4,ggo3dnQSfrU
The Hit Crew,The Dance,https://music.youtube.com/watch?v=B68q4c1FHEw&list=OLAK5uy_k7qU-PcjvbjgE0Dl8FDTzJkb3CYr1rTj4,B68q4c1FHEw
The Hit Crew,Jaws Theme,https://music.youtube.com/watch?v=MSix8cPgYVk&list=OLAK5uy_k7qU-PcjvbjgE0Dl8FDTzJkb3CYr1rTj4,MSix8cPgYVk
The Hit Crew,Hotel California,https://music.youtube.com/watch?v=sBSWzxrHIns&list=OLAK5uy_k7qU-PcjvbjgE0Dl8FDTzJkb3CYr1rTj4,sBSWzxrHIns
The Hit Crew,Congratulations,https://music.youtube.com/watch?v=USQ5xTD3wTQ&list=OLAK5uy_k7qU-PcjvbjgE0Dl8FDTzJkb3CYr1rTj4,USQ5xTD3wTQ
The Hit Crew,Circus Music,https://music.youtube.com/watch?v=pct1uEhAqBQ&list=OLAK5uy_k7qU-PcjvbjgE0Dl8FDTzJkb3CYr1rTj4,pct1uEhAqBQ
The Hit Crew,Nocturne #8 In Db Major (Chopin),https://music.youtube.com/watch?v=NOJiF5gL6RI&list=OLAK5uy_k7qU-PcjvbjgE0Dl8FDTzJkb3CYr1rTj4,NOJiF5gL6RI
George Benson,Nothing's Gonna Change My Love for You,https://music.youtube.com/watch?v=f1De87ETXwo&list=OLAK5uy_lQf-t62mlCmzCNR3FSSTHsOYR_naD9_5E,f1De87ETXwo
George Benson,Give Me the Night,https://music.youtube.com/watch?v=Omnpu8mzX4c&list=OLAK5uy_lQf-t62mlCmzCNR3FSSTHsOYR_naD9_5E,Omnpu8mzX4c
George Benson,In Your Eyes,https://music.youtube.com/watch?v=88ClKTSrtCA&list=OLAK5uy_lQf-t62mlCmzCNR3FSSTHsOYR_naD9_5E,88ClKTSrtCA
George Benson,Kisses in the Moonlight,https://music.youtube.com/watch?v=5yC4YdyQwAw&list=OLAK5uy_lQf-t62mlCmzCNR3FSSTHsOYR_naD9_5E,5yC4YdyQwAw
George Benson,Breezin',https://music.youtube.com/watch?v=G1QjyskJ9jw&list=OLAK5uy_lQf-t62mlCmzCNR3FSSTHsOYR_naD9_5E,G1QjyskJ9jw
George Benson,Affirmation,https://music.youtube.com/watch?v=LELQLEDnDvg&list=OLAK5uy_lQf-t62mlCmzCNR3FSSTHsOYR_naD9_5E,LELQLEDnDvg
George Benson,Love X Love,https://music.youtube.com/watch?v=qrvF6Kai2Y0&list=OLAK5uy_lQf-t62mlCmzCNR3FSSTHsOYR_naD9_5E,qrvF6Kai2Y0
George Benson,This Masquerade (2000 Remaster),https://music.youtube.com/watch?v=j9W0g3NGSj4&list=OLAK5uy_lQf-t62mlCmzCNR3FSSTHsOYR_naD9_5E,j9W0g3NGSj4
George Benson,Turn Your Love Around,https://music.youtube.com/watch?v=XTmZsbqRvlU&list=OLAK5uy_lQf-t62mlCmzCNR3FSSTHsOYR_naD9_5E,XTmZsbqRvlU
George Benson,Lady Love Me,https://music.youtube.com/watch?v=Ikjq_mcp7cY&list=OLAK5uy_lQf-t62mlCmzCNR3FSSTHsOYR_naD9_5E,Ikjq_mcp7cY
Bruce Springsteen,Dancing In the Dark,https://music.youtube.com/watch?v=nCFTL4IO6t4&list=OLAK5uy_kkcsOWN4vsq8QNdpniOeNs9FsRlaDwMVY,nCFTL4IO6t4
Alice Cooper,Poison,https://music.youtube.com/watch?v=XUhjIoDC7Pg&list=OLAK5uy_ml1IfimnJ-RqmRSA_A6DpWRuJDTqd6cak,XUhjIoDC7Pg
Alice Cooper,No More Mr. Nice Guy,https://music.youtube.com/watch?v=v5y7iHePE0Y&list=OLAK5uy_ml1IfimnJ-RqmRSA_A6DpWRuJDTqd6cak,v5y7iHePE0Y
Alice Cooper,I Never Cry,https://music.youtube.com/watch?v=3AUkUfH29yA&list=OLAK5uy_ml1IfimnJ-RqmRSA_A6DpWRuJDTqd6cak,3AUkUfH29yA
Alice Cooper,School's Out (2023 Remaster),https://music.youtube.com/watch?v=JRGTqhrxiYg&list=OLAK5uy_ml1IfimnJ-RqmRSA_A6DpWRuJDTqd6cak,JRGTqhrxiYg
Alice Cooper,Hey Stoopid,https://music.youtube.com/watch?v=qL0XlxFeP_o&list=OLAK5uy_ml1IfimnJ-RqmRSA_A6DpWRuJDTqd6cak,qL0XlxFeP_o
Alice Cooper,You and Me,https://music.youtube.com/watch?v=TyYhd0H9bLI&list=OLAK5uy_ml1IfimnJ-RqmRSA_A6DpWRuJDTqd6cak,TyYhd0H9bLI
Alice Cooper,Feed My Frankenstein,https://music.youtube.com/watch?v=9xC459XOAfs&list=OLAK5uy_ml1IfimnJ-RqmRSA_A6DpWRuJDTqd6cak,9xC459XOAfs
Alice Cooper,I'm Eighteen,https://music.youtube.com/watch?v=AZ1MdRgU7Hw&list=OLAK5uy_ml1IfimnJ-RqmRSA_A6DpWRuJDTqd6cak,AZ1MdRgU7Hw
Alice Cooper,Bed of Nails,https://music.youtube.com/watch?v=DiTmlExE3as&list=OLAK5uy_ml1IfimnJ-RqmRSA_A6DpWRuJDTqd6cak,DiTmlExE3as
Alice Cooper,He's Back (The Man Behind The Mask),https://music.youtube.com/watch?v=2eTrx4eFfwg&list=OLAK5uy_ml1IfimnJ-RqmRSA_A6DpWRuJDTqd6cak,2eTrx4eFfwg
Barbra Streisand,Woman in Love,https://music.youtube.com/watch?v=ryGlgkvqzKE&list=OLAK5uy_k6plcWKwPfq9pWaRMeKbAAITCehl7ty5w,ryGlgkvqzKE
Barbra Streisand,The Way We Were,https://music.youtube.com/watch?v=BJjVlEG8WHM&list=OLAK5uy_k6plcWKwPfq9pWaRMeKbAAITCehl7ty5w,BJjVlEG8WHM
Barbra Streisand,Memory,https://music.youtube.com/watch?v=z1qartep_3I&list=OLAK5uy_k6plcWKwPfq9pWaRMeKbAAITCehl7ty5w,z1qartep_3I
Barbra Streisand,The Way We Were,https://music.youtube.com/watch?v=hkBziLvefsw&list=OLAK5uy_k6plcWKwPfq9pWaRMeKbAAITCehl7ty5w,hkBziLvefsw
Barbra Streisand,"Evergreen (Love Theme from ""A Star Is Born"")",https://music.youtube.com/watch?v=mH0D4TANhk4&list=OLAK5uy_k6plcWKwPfq9pWaRMeKbAAITCehl7ty5w,mH0D4TANhk4
Barbra Streisand,Somewhere,https://music.youtube.com/watch?v=TYa4z3SJbCM&list=OLAK5uy_k6plcWKwPfq9pWaRMeKbAAITCehl7ty5w,TYa4z3SJbCM
Barbra Streisand,It Had to Be You,https://music.youtube.com/watch?v=1gXpYy0YXzY&list=OLAK5uy_k6plcWKwPfq9pWaRMeKbAAITCehl7ty5w,1gXpYy0YXzY
Barbra Streisand,Till I Loved You (Duet with Don Johnson),https://music.youtube.com/watch?v=LGrXVI8PYHs&list=OLAK5uy_k6plcWKwPfq9pWaRMeKbAAITCehl7ty5w,LGrXVI8PYHs
Barbra Streisand,Don't Rain On My Parade,https://music.youtube.com/watch?v=qbs3aAxha70&list=OLAK5uy_k6plcWKwPfq9pWaRMeKbAAITCehl7ty5w,qbs3aAxha70
Barbra Streisand,Memory,https://music.youtube.com/watch?v=wbqsd4Flxh4&list=OLAK5uy_k6plcWKwPfq9pWaRMeKbAAITCehl7ty5w,wbqsd4Flxh4
Momus,The Beast,https://music.youtube.com/watch?v=A0ln0vZMdDI&list=OLAK5uy_mEp26uyk-BlTF1vY1aYUfJMUFabSDyKjc,A0ln0vZMdDI
Momus,"I Want You, But I Don't Need You",https://music.youtube.com/watch?v=_YFpBh2TGhk&list=OLAK5uy_mEp26uyk-BlTF1vY1aYUfJMUFabSDyKjc,_YFpBh2TGhk
Momus,Born to Be Adored,https://music.youtube.com/watch?v=KKfLOWbD3ng&list=OLAK5uy_mEp26uyk-BlTF1vY1aYUfJMUFabSDyKjc,KKfLOWbD3ng
Momus,The Hairstyle of the Devil,https://music.youtube.com/watch?v=61Ejm_jC3L8&list=OLAK5uy_mEp26uyk-BlTF1vY1aYUfJMUFabSDyKjc,61Ejm_jC3L8
Momus,Summer Holiday 1999 (Voyager),https://music.youtube.com/watch?v=4EVnf_BE4Vk&list=OLAK5uy_mEp26uyk-BlTF1vY1aYUfJMUFabSDyKjc,4EVnf_BE4Vk
Momus,The Sadness of Things,https://music.youtube.com/watch?v=_LHV5HZCklo&list=OLAK5uy_mEp26uyk-BlTF1vY1aYUfJMUFabSDyKjc,_LHV5HZCklo
Momus,The Homosexual,https://music.youtube.com/watch?v=rHZNBJaF1As&list=OLAK5uy_mEp26uyk-BlTF1vY1aYUfJMUFabSDyKjc,rHZNBJaF1As
Momus,"Murderers, The Hope of Women",https://music.youtube.com/watch?v=j-UbQxpfP-Q&list=OLAK5uy_mEp26uyk-BlTF1vY1aYUfJMUFabSDyKjc,j-UbQxpfP-Q
Momus,Lucky Like St. Sebastian,https://music.youtube.com/watch?v=GINxBB2f2z8&list=OLAK5uy_mEp26uyk-BlTF1vY1aYUfJMUFabSDyKjc,GINxBB2f2z8
Momus,Is There Sex in Marriage,https://music.youtube.com/watch?v=6ptKhmxp8ME&list=OLAK5uy_mEp26uyk-BlTF1vY1aYUfJMUFabSDyKjc,6ptKhmxp8ME
Tori Amos,Cornflake Girl,https://music.youtube.com/watch?v=Gv-G6rAxX6w&list=OLAK5uy_kyKW3Ara1Payu8DsmI0cM4xQD4qByfkHM,Gv-G6rAxX6w
Tori Amos,A Sorta Fairytale (2023 Remaster),https://music.youtube.com/watch?v=Ckk0D1NdVoY&list=OLAK5uy_kyKW3Ara1Payu8DsmI0cM4xQD4qByfkHM,Ckk0D1NdVoY
Tori Amos,Crucify (Reworked Greatest Hits Version),https://music.youtube.com/watch?v=sbVOducXURc&list=OLAK5uy_kyKW3Ara1Payu8DsmI0cM4xQD4qByfkHM,sbVOducXURc
Tori Amos,Winter,https://music.youtube.com/watch?v=eP2MpqtGCaQ&list=OLAK5uy_kyKW3Ara1Payu8DsmI0cM4xQD4qByfkHM,eP2MpqtGCaQ
Tori Amos,Silent All These Years,https://music.youtube.com/watch?v=M_UihkpPw4M&list=OLAK5uy_kyKW3Ara1Payu8DsmI0cM4xQD4qByfkHM,M_UihkpPw4M
Tori Amos,Caught a Lite Sneeze,https://music.youtube.com/watch?v=wL71FOgp1a4&list=OLAK5uy_kyKW3Ara1Payu8DsmI0cM4xQD4qByfkHM,wL71FOgp1a4
Tori Amos,Spark,https://music.youtube.com/watch?v=-wAZKp93bQ8&list=OLAK5uy_kyKW3Ara1Payu8DsmI0cM4xQD4qByfkHM,-wAZKp93bQ8
Tori Amos,Crucify,https://music.youtube.com/watch?v=ne72E-BD328&list=OLAK5uy_kyKW3Ara1Payu8DsmI0cM4xQD4qByfkHM,ne72E-BD328
Tori Amos,Precious Things,https://music.youtube.com/watch?v=2UOy2bplUoM&list=OLAK5uy_kyKW3Ara1Payu8DsmI0cM4xQD4qByfkHM,2UOy2bplUoM
Tori Amos,God,https://music.youtube.com/watch?v=F4L-Tvmv8-s&list=OLAK5uy_kyKW3Ara1Payu8DsmI0cM4xQD4qByfkHM,F4L-Tvmv8-s
Ryuichi Sakamoto,Merry Christmas Mr. Lawrence,https://music.youtube.com/watch?v=1OZDaRhHHyM&list=OLAK5uy_lcviYwPtrQeWk5usE8SuM4GGRjC87zi9o,1OZDaRhHHyM
Ryuichi Sakamoto,Merry Christmas Mr. Lawrence,https://music.youtube.com/watch?v=DEsEv6WAig0&list=OLAK5uy_lcviYwPtrQeWk5usE8SuM4GGRjC87zi9o,DEsEv6WAig0
Ryuichi Sakamoto,Merry Christmas Mr. Lawrence,https://music.youtube.com/watch?v=omWZGZ2HZu8&list=OLAK5uy_lcviYwPtrQeWk5usE8SuM4GGRjC87zi9o,omWZGZ2HZu8
Ryuichi Sakamoto,Aqua,https://music.youtube.com/watch?v=agaICvnoWQY&list=OLAK5uy_lcviYwPtrQeWk5usE8SuM4GGRjC87zi9o,agaICvnoWQY
坂本龍一,Blu,https://music.youtube.com/watch?v=8EQY2vVu5Is&list=OLAK5uy_lcviYwPtrQeWk5usE8SuM4GGRjC87zi9o,8EQY2vVu5Is
Ryuichi Sakamoto,A Flower is not a Flower,https://music.youtube.com/watch?v=99-dvtlgMSs&list=OLAK5uy_lcviYwPtrQeWk5usE8SuM4GGRjC87zi9o,99-dvtlgMSs
Ryuichi Sakamoto,Energy flow,https://music.youtube.com/watch?v=6BjyiHVlcM4&list=OLAK5uy_lcviYwPtrQeWk5usE8SuM4GGRjC87zi9o,6BjyiHVlcM4
Ryuichi Sakamoto,The Last Emperor (Theme),https://music.youtube.com/watch?v=fTtCXTry0DU&list=OLAK5uy_lcviYwPtrQeWk5usE8SuM4GGRjC87zi9o,fTtCXTry0DU
Ryuichi Sakamoto,The Revenant Main Theme,https://music.youtube.com/watch?v=Z7tj8Xg_0dE&list=OLAK5uy_lcviYwPtrQeWk5usE8SuM4GGRjC87zi9o,Z7tj8Xg_0dE
